cluster_id,week_start_date,forecast_units,forecast_units_lower,forecast_units_upper,delivered_units,forecast_revenue_inr,cluster_name,state,primary_material,raw_material_ratio,wage_ratio,maintenance_ratio,drag_ratio,delivered_revenue,volatility,recent_active_weavers,pending_receivables_inr,receivable_weeks_outstanding,active_weavers_est,raw_material_cost_inr,wage_cost_inr,loom_maintenance_cost_inr,working_capital_drag_inr,projected_cash_in_inr,projected_net_cashflow_inr,projected_pending_receivables_inr,credit_need_probability,credit_status,backlog_collection_inr
C01,2026-06-29,5.026756207947815,0.0,38.34036391035048,4.803420237863391,224843.62840531196,Patan Patola,Gujarat,silk,0.22094966804638466,0.36999999471702744,0.004729540901811307,0.004773474022859092,5091830.37,3.6899615384615383,4.269230769230769,863642.56,3.95,5,49679.12505849834,83192.14132212271,1063.4071370545855,4140.737457349713,221038.8245942483,82963.41361922293,867447.3638110638,0.02845192031814973,green,218643.68607594937
C01,2026-07-06,3.538692610881232,0.0,36.852300313283905,3.335913949518531,158710.96554235835,Patan Patola,Gujarat,silk,0.22094966804638466,0.36999999471702744,0.004729540901811307,0.004773474022859092,5091830.37,3.6899615384615383,4.269230769230769,863642.56,3.95,5,35067.13515190527,58723.05641220691,750.6300030985487,3481.8381877154447,296744.45362230774,198721.79386738158,729413.8757311144,0.0038035086714779203,green,219606.92754710474
C01,2026-07-13,5.245512980799294,0.0,38.55912068320197,5.075180611279789,234333.4913734326,Patan Patola,Gujarat,silk,0.22094966804638466,0.36999999471702744,0.004729540901811307,0.004773474022859092,5091830.37,3.6899615384615383,4.269230769230769,863642.56,3.95,5,51775.907131110274,86703.39057019266,1108.2898321148966,3171.2729086885406,299394.13222738437,156635.27178527802,664353.2348771626,0.3025514947552919,green,184661.74069142135
C01,2026-07-20,5.440275714379217,0.0,38.75388341678189,5.189709208085855,243576.71450750873,Patan Patola,Gujarat,silk,0.22094966804638466,0.36999999471702744,0.004729540901811307,0.004773474022859092,5091830.37,3.6899615384615383,4.269230769230769,863642.56,3.95,5,53818.19421426306,90123.38308096913,1152.006033992078,2791.746260511793,323084.1437632835,175198.81417354743,584845.8056213879,0.5789767903509183,yellow,168190.6923739652
C02,2026-06-29,67.19230334800842,38.53581964234403,100.50591105041109,62.7467697350066,302018.5968196908,Surendranagar Tangaliya,Gujarat,wool,0.24111490976560204,0.34999999829695283,0.03070044334393338,0.004527079176497354,7926967.61,1.3644999999999998,43.11538461538461,1090094.16,2.98,37,72821.18671971349,105706.50837253986,9272.104820477174,4628.803224935431,369642.6288470709,177214.02570940496,1022470.1279726196,0.010027676929511618,green,365803.40939597314
C02,2026-07-06,64.45357190343627,40.41216597770871,97.76717960583895,60.289285914217956,289583.28050441714,Surendranagar Tangaliya,Gujarat,wool,0.24111490976560204,0.34999999829695283,0.03070044334393338,0.004527079176497354,7926967.61,1.3644999999999998,43.11538461538461,1090094.16,2.98,37,69822.84654844957,101354.14768337201,8890.335096476227,3938.200644518619,442132.540964036,258127.01099121955,869920.8675130007,0.02663036112248322,green,343110.7811988656
C02,2026-07-13,68.25368709943172,40.51013561804649,101.56729480183438,63.630351357778224,307118.00319789106,Surendranagar Tangaliya,Gujarat,wool,0.24111490976560204,0.34999999829695283,0.03070044334393338,0.004527079176497354,7926967.61,1.3644999999999998,43.11538461538461,1090094.16,2.98,37,74050.72962845139,107491.30059622542,9428.658857078804,3202.5316940313173,469622.1083406899,275448.88756490295,707416.7623702018,0.15063818951447566,green,291919.75419899356
C02,2026-07-20,73.23689326927999,40.84193136957615,106.55050097168264,68.54725385218731,328394.45697786816,Surendranagar Tangaliya,Gujarat,wool,0.24111490976560204,0.34999999829695283,0.03070044334393338,0.004527079176497354,7926967.61,1.3644999999999998,43.11538461538461,1090094.16,2.98,37,79180.79986174256,114938.05938298261,10081.85542091081,2584.765627567549,464854.64297835686,258069.1626851533,570956.5763697131,0.4464151746328094,yellow,237388.17529201403
C03,2026-06-29,75.03473372829743,42.93617164548421,108.34834143070009,69.64309825668023,238869.0635306877,Kutch Weaves (Bhujodi),Gujarat,wool/cotton,0.2511688414344873,0.35000000074458887,0.04269506883969663,0.005394678777890828,6715115.3,1.5294615384615384,50.80769230769231,954328.28,3.94,53,59996.46594154378,83604.17241359994,10198.53111111658,5122.149856790307,243715.44336963166,84794.12404658106,949481.9001610561,0.019712560003496964,green,242215.2994923858
C03,2026-07-06,65.11545597630992,36.56507328198076,98.4290636787126,60.41428919590595,206822.6238473638,Kutch Weaves (Bhujodi),Gujarat,wool/cotton,0.2511688414344873,0.35000000074458887,0.04269506883969663,0.005394678777890828,6715115.3,1.5294615384615384,50.80769230769231,954328.28,3.94,53,51947.398814183136,72387.91850057515,8830.306162769879,4505.663404670669,321099.39128831006,183428.10440611123,835205.1327201098,0.01586747990429242,green,240985.25384798378
C03,2026-07-13,75.15724420767538,46.78448469851613,108.47085191007804,70.06790431629052,238472.964137254,Kutch Weaves (Bhujodi),Gujarat,wool/cotton,0.2511688414344873,0.35000000074458887,0.04269506883969663,0.005394678777890828,6715115.3,1.5294615384615384,50.80769230769231,954328.28,3.94,53,59896.97811580213,83465.53762560322,10181.619620246563,3918.143459825711,347380.27243757545,189917.99361609787,726297.8244197883,0.18651690981066832,green,211980.99815231212
C03,2026-07-20,86.81811804029167,56.48520796935475,120.13172574269434,80.58799968794558,276208.9644741358,Kutch Weaves (Bhujodi),Gujarat,wool/cotton,0.2511688414344873,0.35000000074458887,0.04269506883969663,0.005394678777890828,6715115.3,1.5294615384615384,50.80769230769231,954328.28,3.94,53,69375.08560078815,96673.13777160965,11792.760752364547,3484.5951196768606,356574.88763635897,175249.30839191977,645931.9012575651,0.6051261347818763,yellow,184339.54934512393
C04,2026-06-29,4.562549819487208,0.0,37.87615752188988,4.3250579441397905,172651.0573025811,Ahmedabad Ashavali,Gujarat,silk,0.22083425684988003,0.37000000229474794,0.005172648806949047,0.005647622199346133,5577954.560000001,2.0378846153846153,5.115384615384615,793252.64,3.23,3,38127.26793376155,63880.89159814566,893.0632855746876,4061.485571928366,246754.0395229594,139791.33113354916,719149.6577796217,0.0022384970684770334,green,245589.05263157896
C04,2026-07-06,3.4739593362180416,0.0,36.78756703862071,3.2811031505857047,131303.3536748163,Ahmedabad Ashavali,Gujarat,silk,0.22083425684988003,0.37000000229474794,0.005172648806949047,0.005647622199346133,5577954.560000001,2.0378846153846153,5.115384615384615,793252.64,3.23,3,28996.27853067502,48582.241160990125,679.1861357344472,3211.637418934798,281782.28498363524,200312.94173730086,568670.7264708027,0.0013925733510660736,green,222646.95287294788
C04,2026-07-13,4.681097144397194,0.0,37.99470484679986,4.346281664308823,176742.5442843529,Ahmedabad Ashavali,Gujarat,silk,0.22083425684988003,0.37000000229474794,0.005172648806949047,0.005647622199346133,5577954.560000001,2.0378846153846153,5.115384615384615,793252.64,3.23,3,39030.808420792084,65394.74179079016,914.227110829597,2717.7698217478746,264189.5405165198,156131.9933723601,481223.7302386358,0.09486301686135173,green,176059.04844297297
C04,2026-07-20,4.090434114161906,0.0,37.40404181656457,3.912003678231527,153796.61853739378,Ahmedabad Ashavali,Gujarat,silk,0.22083425684988003,0.37000000229474794,0.005172648806949047,0.005647622199346133,5577954.560000001,2.0378846153846153,5.115384615384615,793252.64,3.23,3,33963.561960729836,56904.74921176017,795.5358953902476,2065.218725957951,269341.01452504925,175611.94873121104,365679.3342509803,0.20603641962386934,green,148985.67499648168
