week_start_date,year,month,week_of_year,festival_name,festival_proximity,is_festival_week,is_wedding_season,google_trends_source,google_trends_index,cotton_price_inr_per_kg,cotton_price_source,cpi_inflation_index,cpi_source,cotton_price_trailing_12wk_avg,cotton_price_rel_12wk_avg
2021-07-05,2021,7,27,,0.0,False,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),57.6,62.7,REAL_FILE (cotton_prices_weekly.csv),87.8,REAL_FILE (cpi_weekly.csv),62.7,0.0
2021-07-12,2021,7,28,,0.0,False,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),50.1,64.7,REAL_FILE (cotton_prices_weekly.csv),87.8,REAL_FILE (cpi_weekly.csv),63.7,0.01569858712715866
2021-07-19,2021,7,29,Onam,0.0571428571428571,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),57.1,66.9,REAL_FILE (cotton_prices_weekly.csv),87.8,REAL_FILE (cpi_weekly.csv),64.76666666666667,0.03293875450334549
2021-07-26,2021,7,30,Onam,0.2571428571428571,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),62.5,69.3,REAL_FILE (cotton_prices_weekly.csv),87.8,REAL_FILE (cpi_weekly.csv),65.9,0.05159332321699539
2021-08-02,2021,8,31,Onam,0.4571428571428571,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),55.6,72.9,REAL_FILE (cotton_prices_weekly.csv),87.8,REAL_FILE (cpi_weekly.csv),67.3,0.0832095096582468
2021-08-09,2021,8,32,Onam,0.6571428571428571,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),62.8,70.7,REAL_FILE (cotton_prices_weekly.csv),87.8,REAL_FILE (cpi_weekly.csv),67.86666666666667,0.0417485265225932
2021-08-16,2021,8,33,Onam,0.8571428571428572,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),73.1,72.8,REAL_FILE (cotton_prices_weekly.csv),87.8,REAL_FILE (cpi_weekly.csv),68.57142857142857,0.06166666666666676
2021-08-23,2021,8,34,Raksha_Bandhan,1.0,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),73.9,67.6,REAL_FILE (cotton_prices_weekly.csv),87.8,REAL_FILE (cpi_weekly.csv),68.45,-0.012417823228634162
2021-08-30,2021,8,35,,0.0,False,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),37.8,71.4,REAL_FILE (cotton_prices_weekly.csv),87.8,REAL_FILE (cpi_weekly.csv),68.77777777777777,0.038126009693053575
2021-09-06,2021,9,36,Navratri_start,0.1142857142857142,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),36.3,62.3,REAL_FILE (cotton_prices_weekly.csv),87.8,REAL_FILE (cpi_weekly.csv),68.13,-0.08557170115954793
2021-09-13,2021,9,37,Navratri_start,0.3142857142857143,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),48.2,57.8,REAL_FILE (cotton_prices_weekly.csv),87.8,REAL_FILE (cpi_weekly.csv),67.19090909090909,-0.1397645785414694
2021-09-20,2021,9,38,Navratri_start,0.5142857142857143,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),52.8,53.6,REAL_FILE (cotton_prices_weekly.csv),87.8,REAL_FILE (cpi_weekly.csv),66.05833333333334,-0.1885959379336445
2021-09-27,2021,9,39,Navratri_start,0.7142857142857143,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),55.3,55.9,REAL_FILE (cotton_prices_weekly.csv),87.8,REAL_FILE (cpi_weekly.csv),65.49166666666666,-0.14645629214912836
