cluster_id,product_category,week_start_date,festival_proximity,is_wedding_season,google_trends_index,cotton_price_rel_12wk_avg,cluster_code,product_code,cluster_name,state,primary_material,product_specialty,lag_1,lag_2,lag_4,lag_8,lag_52,rolling_mean_4,rolling_std_4,rolling_mean_12,rolling_std_12,avg_order_value_trailing_12,delivery_rate_trailing_12,delivery_gap_trailing_4,baseline_pred,xgb_pred,ensemble_pred,lower_90,upper_90,units_ordered,units_delivered,avg_order_value_inr
C01,dupatta,2026-06-29,0.0,True,52.8,-0.0947897049591964,0,0,Patan Patola,Gujarat,silk,saree,0.0,0.0,1.0,0.0,0.0,0.25,0.4330127018922193,0.5,0.6454972243679028,45465.22,1.0,0.0,0.0,0.7359287738800049,0.4292535780478262,0.0,5.068557985660145,0.4292535780478262,0.4292535780478262,45465.22
C01,dupatta,2026-07-06,0.0571428571428571,False,55.0,-0.0914826498422712,0,0,Patan Patola,Gujarat,silk,saree,0.4292535780478262,0.0,0.0,0.0,0.0,0.10731339451195655,0.18587225162739188,0.3691044648373189,0.46092311024659505,45585.68749999999,1.0,0.0,0.0,0.810897707939148,0.4729815641376402,0.0,5.112285971749959,0.4729815641376402,0.4729815641376402,45585.68749999999
C01,dupatta,2026-07-13,0.2571428571428571,False,64.8,-0.0778012684989428,0,0,Patan Patola,Gujarat,silk,saree,0.4729815641376402,0.4292535780478262,0.0,0.0,0.0,0.2255587855463666,0.22608799798548723,0.32518626184878885,0.422198308019928,45615.56895833334,1.0,0.0,0.0,0.5835897326469421,0.3403970462113229,0.0,4.979701453823641,0.3403970462113229,0.3403970462113229,45615.56895833334
C01,dupatta,2026-07-20,0.4571428571428571,False,60.5,-0.0638750132851524,0,0,Patan Patola,Gujarat,silk,saree,0.3403970462113229,0.4729815641376402,0.0,1.0,1.0,0.3106580470991973,0.1856115934151171,0.27021934903306577,0.37054221354749145,45454.28053819444,1.0,0.0,1.0,0.5211332440376282,0.7206859200228531,0.0,5.359990327635171,0.7206859200228531,0.7206859200228531,45454.28053819444
C02,dupatta,2026-06-29,0.0,True,52.8,-0.0947897049591964,1,0,Surendranagar Tangaliya,Gujarat,wool,shawl_wrap,4.0,4.0,5.0,5.0,7.0,4.5,0.5,6.0,1.6832508230603465,4584.645833333333,0.9305555555555556,2.0,7.0,5.656869888305664,6.216577165220914,1.577272757608596,10.855881572833233,6.216577165220914,5.784870417636129,4584.645833333333
C02,dupatta,2026-07-06,0.0571428571428571,False,55.0,-0.0914826498422712,1,0,Surendranagar Tangaliya,Gujarat,wool,shawl_wrap,6.216577165220914,4.0,5.0,5.0,8.0,4.804144291305229,0.9119515015097611,6.018048097101743,1.6843148177322038,4596.592152777777,0.9386331099929357,0.4317067475847871,8.0,5.63551139831543,6.620837737903294,1.9815333302909757,11.260142145515612,6.620837737903294,6.214537516686762,4596.592152777777
C02,dupatta,2026-07-13,0.2571428571428571,False,64.8,-0.0778012684989428,1,0,Surendranagar Tangaliya,Gujarat,wool,shawl_wrap,6.620837737903294,6.216577165220914,4.0,8.0,8.0,5.209353725781052,1.2177704054495238,5.736451241927017,1.2110205679067507,4576.158998842592,0.9297183519222809,0.8380069688013201,8.0,5.9540934562683105,6.806660732100299,2.167356324487981,11.445965139712618,6.806660732100299,6.328277397942396,4576.158998842592
C02,dupatta,2026-07-20,0.4571428571428571,False,60.5,-0.0638750132851524,1,0,Surendranagar Tangaliya,Gujarat,wool,shawl_wrap,6.806660732100299,6.620837737903294,4.0,7.0,9.0,5.911018908806128,1.123763338480615,5.803672969602043,1.2456763580358674,4568.944748746142,0.9236634235652013,1.316390302959224,9.0,6.543911933898926,7.567409472500995,2.928105064888677,12.206713880113313,7.567409472500995,6.989739340890003,4568.944748746142
C03,dupatta,2026-06-29,0.0,True,52.8,-0.0947897049591964,2,0,Kutch Weaves (Bhujodi),Gujarat,wool/cotton,shawl_wrap,6.0,11.0,2.0,1.0,3.0,7.0,3.391164991562634,7.083333333333333,3.277660073216189,3115.2508333333335,0.9411764705882353,1.0,3.0,5.757249355316162,4.608252311021212,0.0,9.247556718633529,4.608252311021212,4.337178645667023,3115.2508333333335
C03,dupatta,2026-07-06,0.0571428571428571,False,55.0,-0.0914826498422712,2,0,Kutch Weaves (Bhujodi),Gujarat,wool/cotton,shawl_wrap,4.608252311021212,6.0,9.0,10.0,6.0,7.652063077755303,2.5009854047079374,6.717354359251768,3.288386056879165,3124.5767361111107,0.9346087588524296,1.2710736653541872,6.0,7.863940238952637,7.087201703799936,2.4478972961876178,11.726506111412254,7.087201703799936,6.623760788125282,3124.5767361111107
