week_start_date,cpi_inflation_index
2021-07-05,87.8
2021-07-12,87.8
2021-07-19,87.8
2021-07-26,87.8
2021-08-02,87.8
2021-08-09,87.8
2021-08-16,87.8
2021-08-23,87.8
2021-08-30,87.8
2021-09-06,87.8
2021-09-13,87.8
2021-09-20,87.8
2021-09-27,87.8
2021-10-04,87.8
2021-10-11,87.8
2021-10-18,87.8
2021-10-25,87.8
2021-11-01,87.8
2021-11-08,87.76153846153846
2021-11-15,87.72307692307692
2021-11-22,87.68461538461538
2021-11-29,87.64615384615384
2021-12-06,87.6076923076923
2021-12-13,87.56923076923077
2021-12-20,87.53076923076922
2021-12-27,87.49230769230769
2022-01-03,87.45384615384616
2022-01-10,87.41538461538461
2022-01-17,87.37692307692308
2022-01-24,87.33846153846153
2022-01-31,87.3
2022-02-07,87.35
2022-02-14,87.4
2022-02-21,87.45
2022-02-28,87.5
2022-03-07,87.69545454545454
2022-03-14,87.89090909090909
2022-03-21,88.08636363636364
2022-03-28,88.28181818181818
2022-04-04,88.47727272727272
2022-04-11,88.67272727272727
2022-04-18,88.86818181818182
2022-04-25,89.06363636363636
2022-05-02,89.2590909090909
2022-05-09,89.45454545454545
2022-05-16,89.65
2022-05-23,89.84545454545454
2022-05-30,90.04090909090908
2022-06-06,90.23636363636363
2022-06-13,90.43181818181819
2022-06-20,90.62727272727273
2022-06-27,90.82272727272726
2022-07-04,91.01818181818182
2022-07-11,91.21363636363637
2022-07-18,91.4090909090909
2022-07-25,91.60454545454544
2022-08-01,91.8
2022-08-08,91.89999999999999
2022-08-15,92.0
2022-08-22,92.1
2022-08-29,92.2
2022-09-05,92.3
2022-09-12,92.39999999999999
2022-09-19,92.5
2022-09-26,92.6
2022-10-03,92.69999999999999
2022-10-10,92.8
2022-10-17,92.89999999999999
2022-10-24,93.0
2022-10-31,93.1
2022-11-07,93.14615384615384
2022-11-14,93.1923076923077
2022-11-21,93.23846153846154
2022-11-28,93.28461538461538
2022-12-05,93.33076923076922
2022-12-12,93.37692307692308
2022-12-19,93.42307692307692
2022-12-26,93.46923076923076
2023-01-02,93.5153846153846
2023-01-09,93.56153846153846
2023-01-16,93.6076923076923
2023-01-23,93.65384615384615
2023-01-30,93.69999999999999
2023-02-06,93.74615384615385
2023-02-13,93.79230769230769
2023-02-20,93.83846153846153
2023-02-27,93.88461538461539
2023-03-06,93.93076923076923
2023-03-13,93.97692307692307
2023-03-20,94.02307692307691
2023-03-27,94.06923076923077
2023-04-03,94.11538461538461
2023-04-10,94.16153846153846
2023-04-17,94.2076923076923
2023-04-24,94.25384615384615
2023-05-01,94.3
2023-05-08,94.59230769230768
2023-05-15,94.88461538461539
2023-05-22,95.17692307692307
2023-05-29,95.46923076923076
2023-06-05,95.76153846153846
2023-06-12,96.05384615384615
2023-06-19,96.34615384615384
2023-06-26,96.63846153846153
2023-07-03,96.93076923076923
2023-07-10,97.22307692307692
2023-07-17,97.5153846153846
2023-07-24,97.8076923076923
2023-07-31,98.1
2023-08-07,98.08181818181818
2023-08-14,98.06363636363636
2023-08-21,98.04545454545455
2023-08-28,98.02727272727272
2023-09-04,98.0090909090909
2023-09-11,97.99090909090908
2023-09-18,97.97272727272727
2023-09-25,97.95454545454545
2023-10-02,97.93636363636364
2023-10-09,97.91818181818182
2023-10-16,97.89999999999999
2023-10-23,97.88181818181818
2023-10-30,97.86363636363636
2023-11-06,97.84545454545454
2023-11-13,97.82727272727273
2023-11-20,97.80909090909091
2023-11-27,97.7909090909091
2023-12-04,97.77272727272728
2023-12-11,97.75454545454545
2023-12-18,97.73636363636363
2023-12-25,97.71818181818182
2024-01-01,97.7
2024-01-08,97.74615384615385
2024-01-15,97.79230769230769
2024-01-22,97.83846153846154
2024-01-29,97.88461538461539
2024-02-05,97.93076923076923
2024-02-12,97.97692307692307
2024-02-19,98.02307692307693
2024-02-26,98.06923076923077
2024-03-04,98.11538461538461
2024-03-11,98.16153846153846
2024-03-18,98.20769230769231
2024-03-25,98.25384615384615
2024-04-01,98.3
2024-04-08,98.56153846153846
2024-04-15,98.82307692307693
2024-04-22,99.08461538461539
2024-04-29,99.34615384615384
2024-05-06,99.6076923076923
2024-05-13,99.86923076923077
2024-05-20,100.13076923076923
2024-05-27,100.3923076923077
2024-06-03,100.65384615384616
2024-06-10,100.91538461538461
2024-06-17,101.17692307692307
2024-06-24,101.43846153846154
2024-07-01,101.7
2024-07-08,101.74615384615385
2024-07-15,101.79230769230769
2024-07-22,101.83846153846154
2024-07-29,101.88461538461539
2024-08-05,101.93076923076923
2024-08-12,101.97692307692307
2024-08-19,102.02307692307693
